file_name,harmonic,closeness_centrality,pagerank,degree_centrality,betweenness_centrality,all_subgraphs
es_gsd-ud-train_5648.graphml,1,0,1,1,0,0
es_gsd-ud-train_4342.graphml,2,2,2,2,2,2
es_gsd-ud-train_6522.graphml,1,1,1,1,1,1
es_gsd-ud-train_7028.graphml,2,1,2,2,1,1
es_gsd-ud-train_723.graphml,7,7,7,7,7,7
es_gsd-ud-train_3304.graphml,0,0,0,0,0,0
es_gsd-ud-train_10725.graphml,1,1,3,0,1,1
es_gsd-ud-train_5730.graphml,0,0,0,0,0,0
es_gsd-ud-train_13537.graphml,0,0,0,0,0,0
es_gsd-ud-train_2776.graphml,4,3,4,4,4,4
es_gsd-ud-train_11357.graphml,1,1,1,1,1,1
es_gsd-ud-train_7150.graphml,1,1,1,1,1,1
es_gsd-ud-train_6532.graphml,0,1,0,0,1,0
es_gsd-ud-train_3314.graphml,0,0,0,0,0,0
es_gsd-ud-train_10735.graphml,1,1,1,1,1,1
es_gsd-ud-train_7038.graphml,1,2,0,0,2,2
es_gsd-ud-train_733.graphml,0,0,0,0,0,0
es_gsd-ud-train_5658.graphml,0,0,0,0,0,0
es_gsd-ud-train_1574.graphml,1,1,1,1,1,1
es_gsd-ud-train_12155.graphml,2,2,1,1,2,2
es_gsd-ud-train_4352.graphml,1,0,1,1,1,1
es_gsd-ud-train_2766.graphml,1,1,0,0,1,1
es_gsd-ud-train_11347.graphml,1,1,1,1,1,1
es_gsd-ud-train_7140.graphml,1,1,1,1,1,1
es_gsd-ud-train_5720.graphml,3,2,3,3,2,2
es_gsd-ud-train_13527.graphml,2,2,0,0,2,2
es_gsd-ud-train_12710.graphml,6,2,6,6,2,2
es_gsd-ud-train_1331.graphml,0,0,0,0,0,0
es_gsd-ud-train_4517.graphml,2,2,2,2,2,2
es_gsd-ud-train_6377.graphml,0,0,1,0,0,1
es_gsd-ud-train_5984.graphml,1,1,3,2,1,1
es_gsd-ud-train_10170.graphml,1,0,1,1,1,1
es_gsd-ud-train_9084.graphml,2,2,1,1,2,2
es_gsd-ud-train_3551.graphml,8,6,9,8,8,7
es_gsd-ud-train_176.graphml,0,0,1,1,0,0
es_gsd-ud-train_12668.graphml,2,1,2,2,1,1
es_gsd-ud-train_1249.graphml,1,1,1,1,1,1
es_gsd-ud-train_5165.graphml,0,0,0,0,0,0
es_gsd-ud-train_997.graphml,1,1,0,0,1,1
es_gsd-ud-train_13362.graphml,0,1,0,0,0,1
es_gsd-ud-train_9865.graphml,1,1,1,1,1,1
es_gsd-ud-train_10991.graphml,0,0,0,0,0,0
es_gsd-ud-train_11502.graphml,2,2,2,2,2,2
es_gsd-ud-train_2123.graphml,1,1,2,2,1,1
es_gsd-ud-train_7705.graphml,0,0,0,0,0,0
es_gsd-ud-train_10008.graphml,3,2,4,4,2,3
es_gsd-ud-train_3429.graphml,0,0,0,0,0,0
es_gsd-ud-train_6367.graphml,3,3,3,3,3,3
es_gsd-ud-train_5994.graphml,1,1,2,1,1,1
es_gsd-ud-train_166.graphml,1,1,1,1,2,1
es_gsd-ud-train_10160.graphml,6,6,6,6,6,6
es_gsd-ud-train_9094.graphml,1,1,3,0,1,1
es_gsd-ud-train_3541.graphml,2,2,1,1,2,2
es_gsd-ud-train_12700.graphml,2,1,2,2,1,1
es_gsd-ud-train_1321.graphml,2,3,1,1,2,2
es_gsd-ud-train_4507.graphml,0,0,1,0,0,0
es_gsd-ud-train_11512.graphml,4,2,4,4,2,2
es_gsd-ud-train_2133.graphml,1,0,1,1,0,0
es_gsd-ud-train_10018.graphml,1,1,1,1,1,1
es_gsd-ud-train_3439.graphml,0,0,0,0,0,0
es_gsd-ud-train_7715.graphml,0,1,0,0,0,1
es_gsd-ud-train_5175.graphml,0,0,0,0,0,0
es_gsd-ud-train_12678.graphml,0,1,1,0,0,1
es_gsd-ud-train_1259.graphml,2,1,2,2,2,2
es_gsd-ud-train_9875.graphml,5,4,5,5,5,4
es_gsd-ud-train_13372.graphml,1,1,1,1,1,1
es_gsd-ud-train_10981.graphml,1,0,0,0,1,0
es_gsd-ud-train_987.graphml,1,1,1,1,1,1
es_gsd-ud-train_7091.graphml,2,2,2,2,1,2
es_gsd-ud-train_9668.graphml,0,1,4,0,1,1
es_gsd-ud-train_11296.graphml,0,2,0,0,2,2
es_gsd-ud-train_8362.graphml,0,0,1,0,0,0
es_gsd-ud-train_12865.graphml,1,0,2,0,0,0
es_gsd-ud-train_7908.graphml,1,1,2,2,1,1
es_gsd-ud-train_9710.graphml,2,2,2,2,2,2
es_gsd-ud-train_4283.graphml,1,0,1,1,0,0
es_gsd-ud-train_7870.graphml,0,0,1,0,0,0
es_gsd-ud-train_5789.graphml,0,1,0,0,1,1
es_gsd-ud-train_12084.graphml,1,2,1,1,1,2
es_gsd-ud-train_7918.graphml,0,0,0,0,0,0
es_gsd-ud-train_9678.graphml,1,1,1,1,1,1
es_gsd-ud-train_7081.graphml,0,1,1,0,1,1
es_gsd-ud-train_11286.graphml,0,1,0,0,0,1
es_gsd-ud-train_12875.graphml,0,0,0,0,0,0
es_gsd-ud-train_8372.graphml,0,0,0,0,0,0
es_gsd-ud-train_4293.graphml,0,0,0,0,0,0
es_gsd-ud-train_7860.graphml,1,1,0,0,1,1
es_gsd-ud-train_12094.graphml,1,1,0,0,1,1
es_gsd-ud-train_5799.graphml,0,0,0,0,0,0
es_gsd-ud-train_9700.graphml,0,2,0,0,0,2
es_gsd-ud-train_8537.graphml,0,0,1,0,0,0
es_gsd-ud-train_10850.graphml,3,3,5,0,3,3
es_gsd-ud-train_856.graphml,0,0,1,0,0,0
es_gsd-ud-train_1388.graphml,2,0,2,2,0,1
es_gsd-ud-train_9145.graphml,3,3,3,3,3,3
es_gsd-ud-train_3490.graphml,1,1,1,1,1,1
es_gsd-ud-train_5845.graphml,1,1,1,1,1,1
es_gsd-ud-train_10928.graphml,1,1,0,0,1,1
es_gsd-ud-train_2803.graphml,1,1,1,1,1,1
es_gsd-ud-train_846.graphml,2,1,2,2,2,1
es_gsd-ud-train_10840.graphml,1,0,1,1,0,0
es_gsd-ud-train_1398.graphml,1,1,1,1,1,1
es_gsd-ud-train_8527.graphml,1,1,1,1,1,1
es_gsd-ud-train_10938.graphml,1,1,2,1,1,1
es_gsd-ud-train_2813.graphml,1,1,1,1,1,1
es_gsd-ud-train_9155.graphml,1,1,3,1,1,1
es_gsd-ud-train_3480.graphml,1,1,0,0,1,1
es_gsd-ud-train_5855.graphml,2,1,2,2,2,2
es_gsd-ud-train_6931.graphml,2,2,4,2,2,2
es_gsd-ud-train_1977.graphml,0,0,0,0,0,0
es_gsd-ud-train_2384.graphml,1,1,0,0,1,1
es_gsd-ud-train_8651.graphml,0,0,0,0,0,0
es_gsd-ud-train_14183.graphml,0,0,0,0,0,0
es_gsd-ud-train_1196.graphml,0,1,0,0,0,1
es_gsd-ud-train_6849.graphml,3,2,3,3,2,2
es_gsd-ud-train_8729.graphml,0,0,0,0,0,0
es_gsd-ud-train_13924.graphml,2,2,2,2,2,2
es_gsd-ud-train_9223.graphml,1,0,1,1,0,0
es_gsd-ud-train_1967.graphml,3,3,3,3,3,3
es_gsd-ud-train_2394.graphml,1,1,4,0,1,1
es_gsd-ud-train_8641.graphml,0,0,0,0,0,0
es_gsd-ud-train_6921.graphml,0,0,1,0,0,0
es_gsd-ud-train_8739.graphml,3,3,1,1,3,3
es_gsd-ud-train_9233.graphml,0,0,0,0,0,0
es_gsd-ud-train_13934.graphml,0,0,1,0,0,0
es_gsd-ud-train_6859.graphml,0,0,0,0,0,0
es_gsd-ud-train_1186.graphml,2,2,0,0,2,2
es_gsd-ud-train_11869.graphml,0,0,1,1,0,0
es_gsd-ud-train_5597.graphml,2,2,2,2,2,2
es_gsd-ud-train_13790.graphml,1,1,2,0,0,1
es_gsd-ud-train_3942.graphml,0,0,0,0,0,0
es_gsd-ud-train_8004.graphml,0,0,1,0,0,0
es_gsd-ud-train_4904.graphml,0,0,0,0,0,0
es_gsd-ud-train_11911.graphml,1,1,1,1,1,1
es_gsd-ud-train_6785.graphml,1,2,1,1,2,2
es_gsd-ud-train_11088.graphml,1,0,1,0,0,1
es_gsd-ud-train_9476.graphml,7,6,1,1,7,6
es_gsd-ud-train_10582.graphml,0,0,0,0,0,0
es_gsd-ud-train_584.graphml,1,1,1,1,1,1
es_gsd-ud-train_8014.graphml,0,0,0,0,0,0
es_gsd-ud-train_4914.graphml,1,1,3,2,1,1
es_gsd-ud-train_5587.graphml,1,0,1,1,1,1
es_gsd-ud-train_11879.graphml,0,0,0,0,0,0
es_gsd-ud-train_13780.graphml,0,0,0,0,0,0
es_gsd-ud-train_3952.graphml,1,1,1,1,1,1
es_gsd-ud-train_11098.graphml,1,0,1,1,0,1
es_gsd-ud-train_6795.graphml,0,0,0,0,0,0
es_gsd-ud-train_594.graphml,0,0,1,1,0,0
es_gsd-ud-train_9466.graphml,1,1,1,1,1,1
es_gsd-ud-train_10592.graphml,1,1,2,1,1,2
es_gsd-ud-train_11901.graphml,1,1,1,1,1,1
es_gsd-ud-train_8066.graphml,2,1,2,0,0,1
es_gsd-ud-train_11192.graphml,3,0,2,2,2,0
es_gsd-ud-train_4966.graphml,2,2,2,2,2,2
es_gsd-ud-train_7395.graphml,2,2,3,3,2,2
es_gsd-ud-train_10498.graphml,1,0,1,1,0,0
es_gsd-ud-train_3920.graphml,0,0,1,1,0,0
es_gsd-ud-train_9414.graphml,3,2,0,0,2,2
es_gsd-ud-train_11973.graphml,4,1,4,4,0,1
es_gsd-ud-train_8887.graphml,0,0,0,0,0,0
es_gsd-ud-train_12380.graphml,0,0,1,0,0,0
es_gsd-ud-train_3858.graphml,0,0,2,0,0,0
es_gsd-ud-train_4187.graphml,2,1,2,2,1,1
es_gsd-ud-train_3930.graphml,0,0,0,0,0,0
es_gsd-ud-train_8076.graphml,1,3,1,1,3,3
es_gsd-ud-train_11182.graphml,1,0,2,2,1,0
es_gsd-ud-train_10488.graphml,0,0,0,0,0,0
es_gsd-ud-train_4976.graphml,0,0,1,0,0,0
es_gsd-ud-train_7385.graphml,1,1,0,0,1,1
es_gsd-ud-train_11963.graphml,0,1,3,0,1,1
es_gsd-ud-train_12390.graphml,3,3,5,2,3,3
es_gsd-ud-train_8897.graphml,1,1,2,2,1,1
es_gsd-ud-train_4197.graphml,0,0,0,0,0,0
es_gsd-ud-train_3848.graphml,8,7,8,8,8,7
es_gsd-ud-train_9404.graphml,1,1,1,1,1,1
es_gsd-ud-train_1915.graphml,0,0,0,0,0,0
es_gsd-ud-train_8633.graphml,1,1,0,0,1,1
es_gsd-ud-train_9339.graphml,0,0,0,0,0,0
es_gsd-ud-train_6953.graphml,0,0,0,0,0,0
es_gsd-ud-train_88.graphml,0,0,2,0,0,0
es_gsd-ud-train_14099.graphml,0,0,2,0,0,0
es_gsd-ud-train_3794.graphml,0,0,0,0,0,0
es_gsd-ud-train_13946.graphml,0,1,0,0,0,1
es_gsd-ud-train_9241.graphml,1,1,1,1,1,1
es_gsd-ud-train_6943.graphml,1,1,1,1,1,1
es_gsd-ud-train_1905.graphml,2,2,2,2,2,2
es_gsd-ud-train_8623.graphml,2,1,2,2,1,1
es_gsd-ud-train_9329.graphml,1,1,3,0,1,1
es_gsd-ud-train_3784.graphml,1,1,1,1,2,1
es_gsd-ud-train_9251.graphml,0,0,0,0,0,0
es_gsd-ud-train_13956.graphml,0,1,0,0,0,1
es_gsd-ud-train_98.graphml,1,1,0,0,1,1
es_gsd-ud-train_14089.graphml,1,1,1,1,1,1
es_gsd-ud-train_10832.graphml,1,1,1,1,1,1
es_gsd-ud-train_834.graphml,0,0,0,0,0,0
es_gsd-ud-train_2919.graphml,1,1,1,1,1,1
es_gsd-ud-train_8555.graphml,2,2,2,2,2,2
es_gsd-ud-train_2080.graphml,1,1,0,0,1,1
es_gsd-ud-train_1292.graphml,1,1,0,0,1,1
es_gsd-ud-train_2861.graphml,0,2,0,0,2,2
es_gsd-ud-train_9127.graphml,0,0,0,0,0,0
es_gsd-ud-train_5827.graphml,2,2,2,2,2,2
es_gsd-ud-train_8545.graphml,0,0,0,0,0,0
es_gsd-ud-train_2090.graphml,0,0,0,0,0,0
es_gsd-ud-train_824.graphml,0,2,0,0,3,2
es_gsd-ud-train_10822.graphml,0,0,1,1,0,0
es_gsd-ud-train_2909.graphml,0,0,0,0,0,0
es_gsd-ud-train_9137.graphml,1,1,1,1,1,1
es_gsd-ud-train_5837.graphml,2,2,0,0,2,2
es_gsd-ud-train_1282.graphml,0,1,0,0,1,1
es_gsd-ud-train_2871.graphml,2,2,5,2,2,2
es_gsd-ud-train_4399.graphml,1,1,1,1,1,1
es_gsd-ud-train_13494.graphml,0,0,0,0,0,0
es_gsd-ud-train_5693.graphml,0,0,0,0,0,0
es_gsd-ud-train_8300.graphml,1,1,1,1,1,1
es_gsd-ud-train_12807.graphml,1,1,0,0,1,1
es_gsd-ud-train_7812.graphml,0,0,0,0,0,0
es_gsd-ud-train_10686.graphml,0,0,0,0,0,0
es_gsd-ud-train_9772.graphml,0,0,1,1,0,0
es_gsd-ud-train_680.graphml,1,1,1,1,1,1
es_gsd-ud-train_6481.graphml,0,0,0,0,0,0
es_gsd-ud-train_8278.graphml,0,0,1,1,0,0
es_gsd-ud-train_12817.graphml,1,1,1,1,1,1
es_gsd-ud-train_8310.graphml,2,1,2,2,1,1
es_gsd-ud-train_13484.graphml,1,1,0,0,1,1
es_gsd-ud-train_4389.graphml,0,0,2,0,0,0
es_gsd-ud-train_5683.graphml,1,1,1,1,1,1
es_gsd-ud-train_690.graphml,1,0,1,1,0,0
es_gsd-ud-train_10696.graphml,0,0,1,1,0,0
es_gsd-ud-train_9762.graphml,0,0,0,0,0,0
es_gsd-ud-train_8268.graphml,1,1,2,0,0,1
es_gsd-ud-train_6491.graphml,1,0,2,2,0,0
es_gsd-ud-train_7802.graphml,1,2,1,1,2,2
es_gsd-ud-train_6315.graphml,1,1,1,1,1,1
es_gsd-ud-train_11418.graphml,0,2,0,0,0,2
es_gsd-ud-train_2039.graphml,0,1,0,0,0,1
es_gsd-ud-train_10112.graphml,1,0,1,1,1,0
es_gsd-ud-train_3533.graphml,0,0,0,0,0,0
es_gsd-ud-train_114.graphml,1,1,3,0,1,1
es_gsd-ud-train_12772.graphml,4,1,4,4,0,2
es_gsd-ud-train_1353.graphml,0,0,0,0,0,0
es_gsd-ud-train_13278.graphml,5,3,2,1,3,3
es_gsd-ud-train_4575.graphml,3,2,3,3,3,3
es_gsd-ud-train_11560.graphml,7,5,9,0,6,6
es_gsd-ud-train_8494.graphml,0,0,0,0,0,0
es_gsd-ud-train_2141.graphml,0,0,1,1,0,0
es_gsd-ud-train_7767.graphml,0,0,0,0,0,0
es_gsd-ud-train_5107.graphml,2,2,0,0,2,2
es_gsd-ud-train_13300.graphml,0,0,2,2,0,0
es_gsd-ud-train_9807.graphml,2,2,2,2,2,2
es_gsd-ud-train_12762.graphml,1,1,1,1,1,1
es_gsd-ud-train_1343.graphml,0,0,0,0,0,0
es_gsd-ud-train_4565.graphml,1,1,2,1,1,1
es_gsd-ud-train_13268.graphml,1,1,1,1,1,1
es_gsd-ud-train_11408.graphml,1,1,1,1,1,1
es_gsd-ud-train_2029.graphml,0,1,1,1,1,0
es_gsd-ud-train_6305.graphml,3,3,3,3,3,3
es_gsd-ud-train_104.graphml,0,0,1,0,0,0
es_gsd-ud-train_10102.graphml,0,0,2,0,1,0
es_gsd-ud-train_3523.graphml,5,5,10,10,5,5
es_gsd-ud-train_5117.graphml,3,2,3,3,2,2
es_gsd-ud-train_9817.graphml,0,1,3,0,2,1
es_gsd-ud-train_13310.graphml,2,2,3,3,2,2
es_gsd-ud-train_11570.graphml,0,0,1,0,0,0
es_gsd-ud-train_8484.graphml,0,0,1,1,0,0
es_gsd-ud-train_2151.graphml,0,0,0,0,0,0
es_gsd-ud-train_7777.graphml,1,1,2,2,1,1
es_gsd-ud-train_6540.graphml,2,1,2,2,1,1
es_gsd-ud-train_741.graphml,1,1,3,3,1,1
es_gsd-ud-train_3366.graphml,0,0,1,0,0,0
es_gsd-ud-train_10747.graphml,1,1,2,1,1,1
es_gsd-ud-train_1506.graphml,1,1,0,0,1,1
es_gsd-ud-train_12127.graphml,0,0,1,1,0,0
es_gsd-ud-train_4320.graphml,3,1,0,0,1,1
es_gsd-ud-train_6438.graphml,0,0,0,0,0,0
es_gsd-ud-train_2714.graphml,1,1,1,1,1,1
es_gsd-ud-train_11335.graphml,6,3,6,6,4,3
es_gsd-ud-train_7132.graphml,1,1,0,0,1,1
es_gsd-ud-train_639.graphml,1,1,1,1,1,1
es_gsd-ud-train_5752.graphml,3,2,3,3,2,2
es_gsd-ud-train_13555.graphml,0,0,1,1,0,0
es_gsd-ud-train_4258.graphml,1,2,5,1,1,2
es_gsd-ud-train_1516.graphml,0,0,0,0,0,0
es_gsd-ud-train_12137.graphml,3,3,2,2,3,3
es_gsd-ud-train_4330.graphml,0,0,0,0,0,0
es_gsd-ud-train_6550.graphml,2,2,1,1,2,2
es_gsd-ud-train_3376.graphml,0,0,0,0,0,0
es_gsd-ud-train_10757.graphml,0,1,0,0,1,1
es_gsd-ud-train_751.graphml,0,0,0,0,0,0
es_gsd-ud-train_5742.graphml,1,0,2,1,1,1
es_gsd-ud-train_4248.graphml,0,0,2,0,0,0
es_gsd-ud-train_13545.graphml,0,0,0,0,0,0
es_gsd-ud-train_2704.graphml,3,3,4,3,3,3
es_gsd-ud-train_11325.graphml,1,1,2,0,1,1
es_gsd-ud-train_6428.graphml,1,1,1,1,1,1
es_gsd-ud-train_7122.graphml,1,1,2,1,1,1
es_gsd-ud-train_629.graphml,1,1,1,1,1,1
es_gsd-ud-train_4046.graphml,0,0,0,0,0,0
es_gsd-ud-train_3999.graphml,0,0,2,2,1,0
es_gsd-ud-train_8946.graphml,3,3,1,0,3,3
es_gsd-ud-train_12241.graphml,0,0,0,0,0,0
es_gsd-ud-train_1660.graphml,0,1,3,0,0,1
es_gsd-ud-train_427.graphml,2,1,2,2,2,2
es_gsd-ud-train_10421.graphml,0,0,0,0,0,0
es_gsd-ud-train_3000.graphml,1,1,0,0,1,1
es_gsd-ud-train_6626.graphml,3,3,3,3,3,3
es_gsd-ud-train_13633.graphml,2,2,2,2,2,2
es_gsd-ud-train_5434.graphml,2,1,1,1,2,2
es_gsd-ud-train_12339.graphml,0,1,5,0,0,1
es_gsd-ud-train_1718.graphml,0,0,0,0,0,0
es_gsd-ud-train_10559.graphml,1,1,1,1,1,1
es_gsd-ud-train_3178.graphml,0,1,0,0,1,1
es_gsd-ud-train_7254.graphml,0,1,2,0,0,1
es_gsd-ud-train_11053.graphml,2,1,2,2,1,1
es_gsd-ud-train_2472.graphml,1,1,0,0,1,1
es_gsd-ud-train_10431.graphml,0,1,0,0,1,1
es_gsd-ud-train_3010.graphml,0,0,0,0,0,0
es_gsd-ud-train_437.graphml,1,1,2,1,1,1
es_gsd-ud-train_6636.graphml,0,0,1,0,0,0
es_gsd-ud-train_3989.graphml,1,1,1,1,1,1
es_gsd-ud-train_4056.graphml,1,1,1,1,1,1
es_gsd-ud-train_12251.graphml,0,0,0,0,0,0
es_gsd-ud-train_8956.graphml,3,3,1,1,3,3
es_gsd-ud-train_1670.graphml,1,0,1,1,0,0
es_gsd-ud-train_7244.graphml,2,2,2,2,2,2
es_gsd-ud-train_10549.graphml,0,0,0,0,0,0
es_gsd-ud-train_3168.graphml,1,2,0,0,1,1
es_gsd-ud-train_11043.graphml,1,1,1,1,1,1
es_gsd-ud-train_2462.graphml,0,0,0,0,0,0
es_gsd-ud-train_13623.graphml,6,3,0,0,1,3
es_gsd-ud-train_12329.graphml,0,0,0,0,0,0
es_gsd-ud-train_1708.graphml,1,1,3,1,1,1
es_gsd-ud-train_5424.graphml,1,1,1,1,1,1
es_gsd-ud-train_4613.graphml,1,0,2,1,1,0
es_gsd-ud-train_5319.graphml,1,1,1,1,1,1
es_gsd-ud-train_1035.graphml,1,1,0,0,1,1
es_gsd-ud-train_12414.graphml,1,1,0,0,1,1
es_gsd-ud-train_3655.graphml,1,0,1,1,0,0
es_gsd-ud-train_13887.graphml,4,4,0,0,4,4
es_gsd-ud-train_9380.graphml,1,1,3,3,1,1
es_gsd-ud-train_10274.graphml,2,2,2,2,2,2
es_gsd-ud-train_7579.graphml,0,0,0,0,0,0
es_gsd-ud-train_14158.graphml,3,3,3,3,3,3
es_gsd-ud-train_272.graphml,0,0,0,0,0,0
es_gsd-ud-train_6073.graphml,1,1,2,1,1,1
es_gsd-ud-train_13066.graphml,1,1,1,1,1,1
es_gsd-ud-train_6892.graphml,2,3,2,2,3,3
es_gsd-ud-train_5261.graphml,0,1,1,1,2,1
es_gsd-ud-train_31.graphml,2,2,2,2,2,2
es_gsd-ud-train_7401.graphml,1,1,1,1,1,1
es_gsd-ud-train_14020.graphml,4,3,4,4,4,4
es_gsd-ud-train_2227.graphml,1,1,2,0,1,1
es_gsd-ud-train_11606.graphml,0,1,1,0,1,1
es_gsd-ud-train_7569.graphml,3,2,5,0,3,2
es_gsd-ud-train_262.graphml,1,1,1,1,1,1
es_gsd-ud-train_14148.graphml,0,0,2,0,0,0
es_gsd-ud-train_3645.graphml,1,0,1,1,0,0
es_gsd-ud-train_9390.graphml,0,0,0,0,0,0
es_gsd-ud-train_13897.graphml,1,1,2,1,1,1
es_gsd-ud-train_10264.graphml,0,0,1,0,0,0
es_gsd-ud-train_6063.graphml,3,2,3,3,2,2
es_gsd-ud-train_4603.graphml,0,0,0,0,0,0
es_gsd-ud-train_1025.graphml,0,0,0,0,0,0
es_gsd-ud-train_12404.graphml,2,2,1,1,2,2
es_gsd-ud-train_5309.graphml,0,0,3,3,0,0
es_gsd-ud-train_7411.graphml,2,2,2,2,2,2
es_gsd-ud-train_21.graphml,5,3,3,0,3,3
es_gsd-ud-train_14030.graphml,1,0,1,1,1,0
es_gsd-ud-train_2237.graphml,1,1,5,0,1,1
es_gsd-ud-train_11616.graphml,0,0,0,0,0,0
es_gsd-ud-train_13076.graphml,0,0,0,0,0,0
es_gsd-ud-train_6882.graphml,1,1,1,1,1,1
es_gsd-ud-train_5271.graphml,1,0,1,1,0,0
es_gsd-ud-train_10407.graphml,1,1,2,1,1,1
es_gsd-ud-train_3026.graphml,3,2,3,3,3,2
es_gsd-ud-train_401.graphml,2,2,5,5,2,2
es_gsd-ud-train_6600.graphml,1,0,1,1,0,0
es_gsd-ud-train_4060.graphml,2,2,2,2,2,2
es_gsd-ud-train_11894.graphml,1,1,2,0,1,1
es_gsd-ud-train_12267.graphml,4,4,5,5,4,4
es_gsd-ud-train_8960.graphml,0,0,1,0,0,0
es_gsd-ud-train_1646.graphml,0,0,0,0,0,0
es_gsd-ud-train_579.graphml,3,2,0,0,3,2
es_gsd-ud-train_4881.graphml,4,1,4,4,1,2
es_gsd-ud-train_7272.graphml,3,2,3,3,2,2
es_gsd-ud-train_8181.graphml,1,1,0,0,1,1
es_gsd-ud-train_11075.graphml,1,1,1,1,1,1
es_gsd-ud-train_2454.graphml,2,0,2,2,2,2
es_gsd-ud-train_6778.graphml,0,1,0,0,1,1
es_gsd-ud-train_4118.graphml,2,1,2,2,1,1
es_gsd-ud-train_13615.graphml,3,3,4,1,3,3
es_gsd-ud-train_8818.graphml,1,1,1,1,1,1
es_gsd-ud-train_5412.graphml,0,1,0,0,0,1
es_gsd-ud-train_4070.graphml,1,1,0,0,1,1
es_gsd-ud-train_11884.graphml,1,1,1,0,1,1
es_gsd-ud-train_8970.graphml,1,1,0,0,1,1
es_gsd-ud-train_12277.graphml,0,0,0,0,0,0
es_gsd-ud-train_1656.graphml,0,0,0,0,0,0
es_gsd-ud-train_411.graphml,2,1,2,2,1,1
es_gsd-ud-train_10417.graphml,0,0,2,2,0,0
es_gsd-ud-train_3036.graphml,1,1,1,1,1,1
es_gsd-ud-train_6610.graphml,3,2,3,3,2,2
es_gsd-ud-train_13605.graphml,0,1,0,0,0,1
es_gsd-ud-train_4108.graphml,1,1,1,1,1,1
es_gsd-ud-train_5402.graphml,3,4,3,3,3,4
es_gsd-ud-train_8808.graphml,3,2,3,3,3,3
es_gsd-ud-train_569.graphml,1,1,2,1,1,1
es_gsd-ud-train_4891.graphml,0,0,2,0,0,0
es_gsd-ud-train_7262.graphml,1,1,1,1,1,1
es_gsd-ud-train_6768.graphml,0,0,0,0,0,0
es_gsd-ud-train_8191.graphml,0,0,0,0,0,0
es_gsd-ud-train_11065.graphml,1,0,1,1,1,0
es_gsd-ud-train_2444.graphml,2,2,2,2,2,2
es_gsd-ud-train_254.graphml,0,0,0,0,0,0
es_gsd-ud-train_3673.graphml,0,1,2,0,0,1
es_gsd-ud-train_10252.graphml,0,0,0,0,0,0
es_gsd-ud-train_2379.graphml,1,1,0,0,1,1
es_gsd-ud-train_11758.graphml,0,0,2,0,0,0
es_gsd-ud-train_6055.graphml,2,2,3,2,2,2
es_gsd-ud-train_4635.graphml,1,1,1,1,1,1
es_gsd-ud-train_13138.graphml,0,0,0,0,0,0
es_gsd-ud-train_1013.graphml,1,1,1,1,1,1
es_gsd-ud-train_12432.graphml,0,0,0,0,0,0
es_gsd-ud-train_7427.graphml,1,1,1,1,1,0
es_gsd-ud-train_17.graphml,0,0,1,0,0,0
es_gsd-ud-train_14006.graphml,0,0,0,0,0,0
es_gsd-ud-train_2201.graphml,2,2,5,5,2,2
es_gsd-ud-train_11620.graphml,1,1,0,0,1,1
es_gsd-ud-train_13040.graphml,0,0,0,0,0,0
es_gsd-ud-train_5247.graphml,3,2,3,3,2,2
es_gsd-ud-train_13128.graphml,0,0,0,0,0,0
es_gsd-ud-train_4625.graphml,2,1,2,2,1,1
es_gsd-ud-train_1003.graphml,0,1,1,0,2,1
es_gsd-ud-train_12422.graphml,1,1,1,1,1,1
es_gsd-ud-train_3663.graphml,0,1,0,0,1,1
es_gsd-ud-train_10242.graphml,3,2,3,3,3,3
es_gsd-ud-train_244.graphml,0,0,0,0,0,0
es_gsd-ud-train_6045.graphml,0,0,2,0,0,0
es_gsd-ud-train_2369.graphml,2,2,4,1,2,2
es_gsd-ud-train_11748.graphml,0,0,0,0,0,0
es_gsd-ud-train_13050.graphml,0,0,1,0,0,0
es_gsd-ud-train_5257.graphml,3,1,3,3,1,1
es_gsd-ud-train_7437.graphml,2,2,1,1,2,2
es_gsd-ud-train_14016.graphml,0,0,0,0,0,0
es_gsd-ud-train_2211.graphml,2,1,2,2,1,1
es_gsd-ud-train_11630.graphml,1,0,0,0,0,0
es_gsd-ud-train_12754.graphml,1,1,1,1,1,1
es_gsd-ud-train_1375.graphml,3,3,0,0,3,3
es_gsd-ud-train_2986.graphml,1,1,1,1,1,1
es_gsd-ud-train_5059.graphml,0,0,0,0,0,0
es_gsd-ud-train_4553.graphml,0,1,3,0,1,1
es_gsd-ud-train_9959.graphml,0,0,0,0,0,0
es_gsd-ud-train_6333.graphml,1,1,1,1,1,1
es_gsd-ud-train_132.graphml,1,1,0,0,1,1
es_gsd-ud-train_7639.graphml,2,1,2,2,2,1
es_gsd-ud-train_10134.graphml,0,0,0,0,0,0
es_gsd-ud-train_3515.graphml,0,1,0,0,1,0
es_gsd-ud-train_5121.graphml,3,3,6,5,3,3
es_gsd-ud-train_9821.graphml,1,1,1,1,1,1
es_gsd-ud-train_13326.graphml,4,1,4,3,1,1
es_gsd-ud-train_11546.graphml,4,4,4,4,4,4
es_gsd-ud-train_2167.graphml,0,0,0,0,0,0
es_gsd-ud-train_7741.graphml,1,1,1,1,1,1
es_gsd-ud-train_6323.graphml,1,1,2,2,1,1
es_gsd-ud-train_10124.graphml,2,1,0,0,1,1
es_gsd-ud-train_3505.graphml,2,2,3,2,2,2
